Suburb,ratio_normalised,ws_normalised,cc_normalised,lg_normalised,school_normalised
Sydenham,0.133784145,0.654948255,0.214285714,0,0.157894737
Tarneit,0.193752507,0.708979148,0.5,0.098039216,0.421052632
Taylors Hill,0.214161579,0.769623933,0.214285714,0.019607843,0.105263158
Taylors Lakes,0.19317321,0.780296976,0.285714286,0.058823529,0.105263158
Templestowe,0.092564948,0.840907642,0.357142857,0.019607843,0.157894737
Templestowe Lower,0.151486119,0.734942427,0.392857143,0,0.157894737
The Basin,0.047580322,0.706598011,0,0,0.157894737
Thomastown,0.226271111,0.499358691,0.392857143,0.117647059,0.315789474
Thornbury,0.102858607,0.700887685,0.464285714,0.019607843,0.315789474
Toorak,0.145381222,0.975211813,0.178571429,0.019607843,0.210526316
Truganina,0.260817254,0.716955909,0.285714286,0.019607843,0.210526316
Tullamarine,0.023985117,0.547389694,0.25,0.019607843,0.052631579
Upper Ferntree Gully,0.16288267,0.676902284,0,0,0.052631579
Upwey - Tecoma,0.107058509,0.725245127,0.142857143,0.019607843,0.210526316
Vermont,0.058163629,0.720395951,0.214285714,0,0.210526316
Vermont South,0.130096698,0.751266816,0.25,0.019607843,0.263157895
Viewbank - Yallambie,0.203901341,0.727570923,0.25,0,0.105263158
Wallan,0.180684907,0.687501753,0.285714286,0.019607843,0.105263158
Wandin - Seville,0.084677599,0.692511116,0,0.039215686,0.052631579
Wantirna,0.077570073,0.697363103,0.25,0.019607843,0.263157895
Wantirna South,0.19835346,0.722933972,0.285714286,0.039215686,0.368421053
Watsonia,0.101510628,0.677887532,0.214285714,0,0.105263158
Wattle Glen - Diamond Creek,0.152600152,0.837942538,0.25,0.058823529,0.263157895
Werribee,0.239539236,0.597620547,0.428571429,0.431372549,0.631578947
West Footscray - Tottenham,0.127634687,0.669953606,0.285714286,0,0.052631579
West Melbourne,3.34E-05,0,0,0,0.052631579
Wheelers Hill,0.22005481,0.762220588,0.107142857,0.039215686,0.421052632
Whittlesea,0.090537409,0.654009055,0.178571429,0.039215686,0.157894737
Williamstown,0.172151419,0.864565935,0.285714286,0.019607843,0.315789474
Wollert,0.100931331,0.671309308,0,0,0.052631579
Wyndham Vale,0.259268749,0.643633699,0.25,0.019607843,0.210526316
