Suburb,ratio_normalised,ws_normalised,cc_normalised,lg_normalised,school_normalised
Romsey,0.185883942,0.688335445,0.095238095,0.017241379,0.071428571
Rosebud - McCrae,0.41591532,0.465456053,0.238095238,0.103448276,0.285714286
Rowville,0.671108551,0.783486095,0.380952381,0.086206897,0.428571429
Roxburgh Park - Somerton,0.072208762,0.611162867,0.238095238,0.034482759,0.357142857
Sandringham - Black Rock,0.327799182,0.901261569,0.142857143,0.034482759,0.428571429
Seabrook,0.101759542,0.707749088,0,0,0.071428571
Seaford,0.163482544,0.559591906,0.333333333,0.051724138,0.571428571
Seddon - Kingsville,0.183401517,0.793072798,0.047619048,0.034482759,0.071428571
Skye - Sandhurst,0.259701315,0.782043553,0,0,0.071428571
Somerville,0.359236605,0.657880869,0.333333333,0.086206897,0.285714286
South Melbourne,0.002005799,0.821294342,0.523809524,0.086206897,0.071428571
South Morang,0.043432498,0.710842803,0.238095238,0.051724138,0.214285714
South Yarra,0.048437066,0.811130106,0.047619048,0.068965517,0.357142857
Southbank,0.370755054,0.830111103,0.095238095,0,0.142857143
Springvale,0.432358899,0.523437996,0.428571429,0.120689655,0.571428571
Springvale South,0.020931803,0.560568853,0.476190476,0,0.285714286
St Albans,0.24703102,0.487839816,0.333333333,0.155172414,1
St Kilda,0.172935616,0.723110963,0.238095238,0.068965517,0.214285714
St Kilda East,0.046570282,0.727840943,0.285714286,0,0.428571429
Strathmore,0.187234381,0.858100207,0,0.017241379,0.285714286
Sunbury,0.7818644,0.678966151,0.523809524,0.120689655,0.928571429
Sunshine,0.064662192,0.577191668,0.238095238,0.206896552,0.5
Sunshine North,0.038725821,0.532155694,0.238095238,0.034482759,0.357142857
Sunshine West,0.073817373,0.538352129,0.333333333,0,0.285714286
Surrey Hills,0.521984351,0.951763454,0.142857143,0,0.285714286
Sydenham,0.23849148,0.654948255,0.285714286,0,0.214285714
Tarneit,0.690789212,0.708979148,0.666666667,0.068965517,0.642857143
Taylors Hill,0.381777019,0.769623933,0.19047619,0,0.142857143
Taylors Lakes,0.344361918,0.780296976,0.380952381,0.051724138,0.142857143
Templestowe,0.330023434,0.840907642,0.476190476,0.017241379,0.214285714
Templestowe Lower,0.27004806,0.734942427,0.476190476,0,0.214285714
The Basin,0.084819478,0.706598011,0,0,0.214285714
Thomastown,0.403364182,0.499358691,0.523809524,0.103448276,0.428571429
Thornbury,0.366723597,0.700887685,0.571428571,0.103448276,0.428571429
Toorak,0.259165111,0.975211813,0.238095238,0.086206897,0.285714286
Truganina,0.464948167,0.716955909,0.380952381,0,0.357142857
Tullamarine,0.064125988,0.547389694,0.238095238,0.034482759,0.071428571
Upwey - Tecoma,0.190848791,0.725245127,0.19047619,0.034482759,0.285714286
Vermont,0.207371808,0.720395951,0.238095238,0,0.285714286
Vermont South,0.021090678,0.751266816,0.333333333,0.017241379,0.357142857
Viewbank - Yallambie,0.363486515,0.727570923,0.285714286,0,0.142857143
Wallan,0.322099535,0.687501753,0.285714286,0.017241379,0.142857143
Wandin - Seville,0.150951265,0.692511116,0,0.017241379,0.071428571
Wantirna,0.276561941,0.697363103,0.333333333,0.068965517,0.357142857
Wantirna South,0.032152361,0.722933972,0.380952381,0.103448276,0.5
Warrandyte - Wonga Park,0.199567065,0.948929598,0,0,0.071428571
Watsonia,0.180958812,0.677887532,0.19047619,0,0.142857143
Wattle Glen - Diamond Creek,0.272033999,0.837942538,0.19047619,0.051724138,0.357142857
Werribee,0.427016722,0.597620547,0.571428571,0.379310345,0.857142857
West Footscray - Tottenham,0.138022799,0.640071761,0.476190476,0.103448276,0.571428571
West Melbourne,5.96E-05,0,0,0.017241379,0.071428571
Wheelers Hill,0.392282639,0.762220588,0.095238095,0.034482759,0.571428571
Whittlesea,0.161397307,0.654009055,0.095238095,0.034482759,0.214285714
Williamstown,0.306887238,0.864565935,0.285714286,0.086206897,0.428571429
Wollert,0.179926123,0.671309308,0,0,0.071428571
Wyndham Vale,0.092445486,0.643633699,0.333333333,0.017241379,0.285714286
Yarra,0.179608373,0.907366506,0,0,0
Yarra Valley,0.080231958,0.528425591,0,0,0
Yarraville,0.293879334,0.847748382,0.238095238,0.068965517,0.357142857
